[32m[I 2023-04-26 02:21:20,956][39m Trial 65 finished with value: 0.6262626262626262 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,963][39m Trial 66 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,970][39m Trial 67 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,997][39m Trial 68 finished with value: 0.6105263157894738 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,011][39m Trial 69 finished with value: 0.6262626262626262 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,023][39m Trial 70 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,036][39m Trial 71 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,049][39m Trial 72 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,062][39m Trial 73 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,075][39m Trial 74 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,088][39m Trial 75 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,103][39m Trial 76 finished with value: 0.6 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,111][39m Trial 77 finished with value: 0.6086956521739131 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,119][39m Trial 78 finished with value: 0.6 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,125][39m Trial 79 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,133][39m Trial 80 finished with value: 0.6041666666666666 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,140][39m Trial 81 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,147][39m Trial 82 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,155][39m Trial 83 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,163][39m Trial 84 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,171][39m Trial 85 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,182][39m Trial 86 finished with value: 0.6019417475728155 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
