
[32m[I 2023-04-20 22:25:35,477][39m Trial 40 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03077498434838887, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6372940467308479}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:36,218][39m Trial 41 finished with value: 0.8672566371681416 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08798360073982116, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.47126234501964703}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:37,277][39m Trial 42 finished with value: 0.8672566371681416 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08770427250278305, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.46822590851287405}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:37,905][39m Trial 43 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07965027190212139, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4086836602458817}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:38,646][39m Trial 44 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08667730094395469, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5551014010262141}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:39,173][39m Trial 45 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09988756916193796, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.907992594459733}. Best is trial 45 with value: 0.8807339449541284.
[32m[I 2023-04-20 22:25:42,433][39m Trial 46 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0996199682922839, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 45 with value: 0.8807339449541284.
[32m[I 2023-04-20 22:25:43,177][39m Trial 47 finished with value: 0.8727272727272727 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09573429368350277, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.817168715839072}. Best is trial 45 with value: 0.8807339449541284.
[32m[I 2023-04-20 22:25:43,825][39m Trial 48 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0967325045398434, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.8904725526023}. Best is trial 45 with value: 0.8807339449541284.
[32m[I 2023-04-20 22:25:47,335][39m Trial 49 finished with value: 0.8495575221238938 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09695303154288434, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.970192790352616}. Best is trial 45 with value: 0.8807339449541284.
[32m[I 2023-04-20 22:25:48,043][39m Trial 50 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09040515869291552, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.738770419380144}. Best is trial 45 with value: 0.8807339449541284.
[32m[I 2023-04-20 22:25:48,814][39m Trial 51 finished with value: 0.8828828828828829 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09220692692062174, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.460642557550356}. Best is trial 51 with value: 0.8828828828828829.
[32m[I 2023-04-20 22:25:49,504][39m Trial 52 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09717475969307685, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.300520995785968}. Best is trial 51 with value: 0.8828828828828829.
[32m[I 2023-04-20 22:25:50,229][39m Trial 53 finished with value: 0.888888888888889 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09764947066620314, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.971430371104274}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:50,997][39m Trial 54 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09947873484487708, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.100931853093538}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:51,719][39m Trial 55 finished with value: 0.8468468468468469 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09720460633176065, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.048831282526148}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:52,388][39m Trial 56 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.084139627737604, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.875982442554692}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:53,061][39m Trial 57 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09161023119111371, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.538999415985316}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:56,744][39m Trial 58 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08162345311933153, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.031324816621659}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:57,430][39m Trial 59 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09731794740767499, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.96901939387594}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:25:58,079][39m Trial 60 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0850432156958172, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.769840876646937}. Best is trial 53 with value: 0.888888888888889.
