[32m[I 2023-04-20 22:40:51,012][39m A new study created in memory with name: no-name-b280dc0f-abca-433f-9545-7124f84e8bda
[32m[I 2023-04-20 22:42:36,962][39m Trial 45 finished with value: 0.8409090909090909 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08750308530222894, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.12503735400687888}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:37,634][39m Trial 46 finished with value: 0.8409090909090909 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0814104401520379, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.391308610676979}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:38,292][39m Trial 47 finished with value: 0.8409090909090909 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07395684263935129, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.380038535138381}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:38,973][39m Trial 48 finished with value: 0.7906976744186047 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09284708709225661, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:39,635][39m Trial 49 finished with value: 0.8505747126436782 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08134194836439046, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.6278010264567944}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:40,319][39m Trial 50 finished with value: 0.8372093023255814 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08271706182503577, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.1215096705841994}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:41,024][39m Trial 51 finished with value: 0.8275862068965518 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08629144834992802, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.4048359975115914}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:41,624][39m Trial 52 finished with value: 0.7529411764705882 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.026229620229923707, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 1.9065432881853983}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:42,318][39m Trial 53 finished with value: 0.8505747126436782 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09529467182381102, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.372741300432264}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:43,114][39m Trial 54 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09587744612509999, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.535970078735908}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:43,816][39m Trial 55 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09324909617903193, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.5516455376294225}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:44,468][39m Trial 56 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0807103362276082, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6624981050024483}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:45,189][39m Trial 57 finished with value: 0.8539325842696629 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09816646645092945, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.0634506109586725}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:45,911][39m Trial 58 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08855868062885186, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.087229275034499}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:46,611][39m Trial 59 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09666272005454479, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.014337085447752}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:47,251][39m Trial 60 finished with value: 0.8666666666666666 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09180980047174221, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.300591187589112}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:47,925][39m Trial 61 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09141083416350537, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.846212220978624}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:48,547][39m Trial 62 finished with value: 0.8275862068965518 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06593443894361574, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.1699337308020503}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:49,148][39m Trial 63 finished with value: 0.7906976744186047 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07891739895498309, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.159854195001062}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:49,871][39m Trial 64 finished with value: 0.8372093023255814 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08512712795553372, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.209093378810545}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:50,561][39m Trial 65 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09793293472974364, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.598530267130889}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:51,189][39m Trial 66 finished with value: 0.8314606741573034 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0710125263784914, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.37464678327828993}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:42:54,654][39m Trial 67 finished with value: 0.8539325842696629 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08784978443313533, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.1182428709314}. Best is trial 60 with value: 0.8666666666666666.
