[32m[I 2023-04-26 02:19:38,159][39m Trial 68 finished with value: 0.8192771084337348 and parameters: {'criterion': 'gini', 'n_estimators': 170, 'max_features': 0.9933855976349016, 'max_depth': 38, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:38,355][39m Trial 69 finished with value: 0.7951807228915663 and parameters: {'criterion': 'entropy', 'n_estimators': 163, 'max_features': 0.7223165775052471, 'max_depth': 45, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:38,523][39m Trial 70 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 146, 'max_features': 0.6292767109498787, 'max_depth': 53, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:38,727][39m Trial 71 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 155, 'max_features': 0.7893502761401138, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:38,838][39m Trial 72 finished with value: 0.7692307692307694 and parameters: {'criterion': 'entropy', 'n_estimators': 77, 'max_features': 0.8526576289811351, 'max_depth': 39, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:39,093][39m Trial 73 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 184, 'max_features': 0.8900548349219694, 'max_depth': 74, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:39,306][39m Trial 74 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 163, 'max_features': 0.9183310917007448, 'max_depth': 57, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:39,502][39m Trial 75 finished with value: 0.7777777777777778 and parameters: {'criterion': 'entropy', 'n_estimators': 170, 'max_features': 0.759796544935737, 'max_depth': 101, 'min_samples_split': 5, 'min_samples_leaf': 8}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:39,725][39m Trial 76 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 176, 'max_features': 0.8046066003710685, 'max_depth': 50, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:39,863][39m Trial 77 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 110, 'max_features': 0.7044849308817496, 'max_depth': 50, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
