[32m[I 2023-04-26 00:16:20,955][39m Trial 74 finished with value: 0.8620689655172413 and parameters: {'criterion': 'entropy', 'n_estimators': 158, 'max_features': 0.2035341478078708, 'max_depth': 72, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,061][39m Trial 75 finished with value: 0.8596491228070176 and parameters: {'criterion': 'entropy', 'n_estimators': 134, 'max_features': 0.16253801065601342, 'max_depth': 86, 'min_samples_split': 4, 'min_samples_leaf': 5}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,204][39m Trial 76 finished with value: 0.8495575221238938 and parameters: {'criterion': 'entropy', 'n_estimators': 170, 'max_features': 0.3497246336112875, 'max_depth': 78, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,322][39m Trial 77 finished with value: 0.8521739130434783 and parameters: {'criterion': 'entropy', 'n_estimators': 148, 'max_features': 0.305546658673574, 'max_depth': 92, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,450][39m Trial 78 finished with value: 0.7964601769911505 and parameters: {'criterion': 'entropy', 'n_estimators': 145, 'max_features': 0.44805209028080867, 'max_depth': 82, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,578][39m Trial 79 finished with value: 0.8596491228070176 and parameters: {'criterion': 'entropy', 'n_estimators': 150, 'max_features': 0.4979666715512033, 'max_depth': 74, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,702][39m Trial 80 finished with value: 0.8596491228070176 and parameters: {'criterion': 'gini', 'n_estimators': 138, 'max_features': 0.2606089744611368, 'max_depth': 67, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,830][39m Trial 81 finished with value: 0.8448275862068967 and parameters: {'criterion': 'entropy', 'n_estimators': 163, 'max_features': 0.214536015238218, 'max_depth': 74, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:21,943][39m Trial 82 finished with value: 0.8793103448275863 and parameters: {'criterion': 'entropy', 'n_estimators': 140, 'max_features': 0.2965430690609986, 'max_depth': 63, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:22,090][39m Trial 83 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 192, 'max_features': 0.2939189010721924, 'max_depth': 61, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:22,250][39m Trial 84 finished with value: 0.847457627118644 and parameters: {'criterion': 'entropy', 'n_estimators': 192, 'max_features': 0.30031412924395834, 'max_depth': 54, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:22,379][39m Trial 85 finished with value: 0.8648648648648648 and parameters: {'criterion': 'entropy', 'n_estimators': 141, 'max_features': 0.6792296179722002, 'max_depth': 47, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
