[32m[I 2023-04-26 14:57:28,181][39m Trial 62 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 78, 'max_features': 0.6182203850675957, 'max_depth': 21, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,275][39m Trial 63 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 101, 'max_features': 0.5224024589683546, 'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,362][39m Trial 64 finished with value: 0.8395061728395061 and parameters: {'criterion': 'entropy', 'n_estimators': 90, 'max_features': 0.5546770012021417, 'max_depth': 33, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,442][39m Trial 65 finished with value: 0.7692307692307694 and parameters: {'criterion': 'entropy', 'n_estimators': 72, 'max_features': 0.6993628096324294, 'max_depth': 30, 'min_samples_split': 6, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,520][39m Trial 66 finished with value: 0.8433734939759037 and parameters: {'criterion': 'entropy', 'n_estimators': 82, 'max_features': 0.5001124892932275, 'max_depth': 25, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,596][39m Trial 67 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 75, 'max_features': 0.6496874990339299, 'max_depth': 38, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,664][39m Trial 68 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 68, 'max_features': 0.5944373182531284, 'max_depth': 41, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,729][39m Trial 69 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 61, 'max_features': 0.7671347174359407, 'max_depth': 56, 'min_samples_split': 11, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,779][39m Trial 70 finished with value: 0.7951807228915663 and parameters: {'criterion': 'entropy', 'n_estimators': 50, 'max_features': 0.45632533660230856, 'max_depth': 28, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,845][39m Trial 71 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 55, 'max_features': 0.6778238187351344, 'max_depth': 47, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,915][39m Trial 72 finished with value: 0.8764044943820225 and parameters: {'criterion': 'entropy', 'n_estimators': 66, 'max_features': 0.7373828118343067, 'max_depth': 50, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:28,987][39m Trial 73 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 64, 'max_features': 0.7465820525101983, 'max_depth': 35, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,055][39m Trial 74 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 68, 'max_features': 0.6172222497274359, 'max_depth': 63, 'min_samples_split': 6, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,133][39m Trial 75 finished with value: 0.7951807228915663 and parameters: {'criterion': 'entropy', 'n_estimators': 75, 'max_features': 0.783782363917868, 'max_depth': 53, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,221][39m Trial 76 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 81, 'max_features': 0.8152083426848705, 'max_depth': 50, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,304][39m Trial 77 finished with value: 0.7901234567901235 and parameters: {'criterion': 'gini', 'n_estimators': 88, 'max_features': 0.733974312010198, 'max_depth': 58, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,356][39m Trial 78 finished with value: 0.746987951807229 and parameters: {'criterion': 'entropy', 'n_estimators': 54, 'max_features': 0.37202988475955834, 'max_depth': 32, 'min_samples_split': 5, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,458][39m Trial 79 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 104, 'max_features': 0.6419042877255705, 'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,551][39m Trial 80 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 97, 'max_features': 0.5523322848851715, 'max_depth': 43, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,615][39m Trial 81 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 60, 'max_features': 0.6990247221340787, 'max_depth': 53, 'min_samples_split': 8, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,686][39m Trial 82 finished with value: 0.8636363636363636 and parameters: {'criterion': 'entropy', 'n_estimators': 70, 'max_features': 0.6584987031020246, 'max_depth': 57, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,757][39m Trial 83 finished with value: 0.7954545454545454 and parameters: {'criterion': 'entropy', 'n_estimators': 70, 'max_features': 0.669613658998525, 'max_depth': 46, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,833][39m Trial 84 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 76, 'max_features': 0.5876639213532109, 'max_depth': 49, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,901][39m Trial 85 finished with value: 0.8735632183908046 and parameters: {'criterion': 'entropy', 'n_estimators': 63, 'max_features': 0.7179779753586134, 'max_depth': 58, 'min_samples_split': 10, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:29,975][39m Trial 86 finished with value: 0.7999999999999999 and parameters: {'criterion': 'entropy', 'n_estimators': 64, 'max_features': 0.8880863660252248, 'max_depth': 62, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:30,037][39m Trial 87 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 59, 'max_features': 0.7034137625199038, 'max_depth': 66, 'min_samples_split': 10, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:30,128][39m Trial 88 finished with value: 0.8181818181818182 and parameters: {'criterion': 'entropy', 'n_estimators': 85, 'max_features': 0.8521476700936106, 'max_depth': 57, 'min_samples_split': 5, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:30,245][39m Trial 89 finished with value: 0.8095238095238095 and parameters: {'criterion': 'gini', 'n_estimators': 130, 'max_features': 0.7530827390244731, 'max_depth': 71, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:30,312][39m Trial 90 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 67, 'max_features': 0.6065656816528122, 'max_depth': 37, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
