
[32m[I 2023-04-25 23:56:56,267][39m Trial 39 finished with value: 0.8421052631578947 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09120043862189123, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:59,540][39m Trial 40 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03430072608469716, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.12019497926107954}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:01,629][39m Trial 41 finished with value: 0.8333333333333334 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.01979658208106644, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6106466865512648}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:03,449][39m Trial 42 finished with value: 0.8333333333333334 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.027276915925968218, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7783120955570877}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:04,974][39m Trial 43 finished with value: 0.8376068376068375 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03973751483892027, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5029908725884231}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:06,067][39m Trial 44 finished with value: 0.7936507936507937 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.01141286512890008, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.35328839288209857}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:07,549][39m Trial 45 finished with value: 0.847457627118644 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.017477242438320065, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.5605476116054735}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:11,658][39m Trial 46 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0323295752183717, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.23945349719467696}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:16,021][39m Trial 47 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03128231176850363, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2398478150264026}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:19,396][39m Trial 48 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0745677007347025, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:23,446][39m Trial 49 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03679951549030816, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.33903563827434335}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:27,369][39m Trial 50 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04443844290561647, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.45026113923758426}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:31,726][39m Trial 51 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03671033702442916, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.35226946010134697}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:33,528][39m Trial 52 finished with value: 0.8376068376068375 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04928608172617684, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6462127509119772}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:37,331][39m Trial 53 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.041855740246278736, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.39682724130636743}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:39,386][39m Trial 54 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.030070825423749732, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.30495444270169403}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:42,641][39m Trial 55 finished with value: 0.8421052631578947 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05472833805329251, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2977098606570307}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:45,625][39m Trial 56 finished with value: 0.847457627118644 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.02398315078645201, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5548951207537047}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:46,970][39m Trial 57 finished with value: 0.847457627118644 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03031277213869774, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.244668293451122}. Best is trial 2 with value: 0.8672566371681416.
