[32m[I 2023-04-26 13:01:06,031][39m A new study created in memory with name: no-name-ef779f35-aa5f-4ca8-8cd5-80751089e0e7
[32m[I 2023-04-26 13:02:24,451][39m Trial 39 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.041983509448690004, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.26410223632036}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:25,990][39m Trial 40 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06031659198190372, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5299495369611572}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:27,501][39m Trial 41 finished with value: 0.7252747252747254 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07663639313966096, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.386738855197643}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:28,790][39m Trial 42 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04254017184252698, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.711408848766065}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:30,026][39m Trial 43 finished with value: 0.7090909090909091 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.023968609998854605, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.078397626725318}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:31,441][39m Trial 44 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.049361034233120334, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.465590977834495}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:32,747][39m Trial 45 finished with value: 0.7346938775510203 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04203304358852137, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.876491390319481}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:34,138][39m Trial 46 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06146402830885449, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.231532599061504}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:35,371][39m Trial 47 finished with value: 0.6990291262135923 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03502504579383065, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.172282694079028}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:37,056][39m Trial 48 finished with value: 0.717391304347826 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08558006923074082, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.671265705217633}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:38,407][39m Trial 49 finished with value: 0.7578947368421053 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05392871253851845, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.234264938827932}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:39,776][39m Trial 50 finished with value: 0.7422680412371134 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.051349687731390585, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.913679046365832}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:41,108][39m Trial 51 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0549548376213742, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.389821467205225}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:42,425][39m Trial 52 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.045748611563669564, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.732557678839187}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:43,835][39m Trial 53 finished with value: 0.7578947368421053 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05748481618051858, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.377480134083778}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:45,284][39m Trial 54 finished with value: 0.7291666666666666 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.057549562066114154, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.19175556173458}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:48,800][39m Trial 55 finished with value: 0.6981132075471698 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.051823521618695606, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.081004847305606}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:50,254][39m Trial 56 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.055863258132595156, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.382907799671577}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:51,597][39m Trial 57 finished with value: 0.7200000000000001 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04355241882282484, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.078010768262363}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:55,358][39m Trial 58 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0707732373914423, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:56,795][39m Trial 59 finished with value: 0.7368421052631579 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04795387262779897, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.9816222299803989}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:02:58,111][39m Trial 60 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03912815727561744, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.783307662959626}. Best is trial 28 with value: 0.7789473684210526.
