[32m[I 2023-04-26 12:57:51,269][39m Trial 91 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,277][39m Trial 92 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,299][39m Trial 93 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'brute', 'n_neighbors': 27, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,328][39m Trial 94 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,357][39m Trial 95 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'brute', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,384][39m Trial 96 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,398][39m Trial 97 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,410][39m Trial 98 finished with value: 0.6909090909090909 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,438][39m Trial 99 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'brute', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,453][39m Trial 100 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,467][39m Trial 101 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,480][39m Trial 102 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,494][39m Trial 103 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,506][39m Trial 104 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,519][39m Trial 105 finished with value: 0.709090909090909 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,533][39m Trial 106 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,546][39m Trial 107 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,558][39m Trial 108 finished with value: 0.709090909090909 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,582][39m Trial 109 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,609][39m Trial 110 finished with value: 0.6909090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,638][39m Trial 111 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,652][39m Trial 112 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:51,666][39m Trial 113 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
