
[32m[I 2023-04-26 11:22:04,591][39m Trial 54 finished with value: 0.851851851851852 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0996044069423136, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.458636952120753}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:16,034][39m Trial 55 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09440372368252198, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.244431167649354}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:22,067][39m Trial 56 finished with value: 0.8545454545454546 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09060934671611354, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.070497884721952}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:24,948][39m Trial 57 finished with value: 0.8196721311475409 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.010938110560052484, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3900471367820174}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:27,670][39m Trial 58 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08409349444445058, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:29,302][39m Trial 59 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06894326203750513, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.790556881499444}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:33,354][39m Trial 60 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06399769068613444, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.6037941758796803}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:44,584][39m Trial 61 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09477690941911121, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.646188989560695}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:22:56,448][39m Trial 62 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09419926456375384, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.216539219589816}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:03,230][39m Trial 63 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08726968231616845, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.860129766347687}. Best is trial 21 with value: 0.8771929824561403.
