[32m[I 2023-04-26 15:43:48,559][39m Trial 45 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,581][39m Trial 46 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,599][39m Trial 47 finished with value: 0.6262626262626262 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,616][39m Trial 48 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,627][39m Trial 49 finished with value: 0.6363636363636364 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,682][39m Trial 50 finished with value: 0.6185567010309277 and parameters: {'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,709][39m Trial 51 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,730][39m Trial 52 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,747][39m Trial 53 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,761][39m Trial 54 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,778][39m Trial 55 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
