
[32m[I 2023-04-26 14:24:33,784][39m Trial 50 finished with value: 0.8674698795180722 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09080872978702044, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9536047259415033}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:38,178][39m Trial 51 finished with value: 0.8536585365853658 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09069889719370255, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9890222148754143}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:42,048][39m Trial 52 finished with value: 0.8292682926829268 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09994435755724622, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7137330498542587}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:45,712][39m Trial 53 finished with value: 0.8705882352941177 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08517914147444364, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7281349033305277}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:49,016][39m Trial 54 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07808856058575755, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:50,893][39m Trial 55 finished with value: 0.8131868131868132 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04588305698569812, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7608475111263386}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:24:55,402][39m Trial 56 finished with value: 0.8333333333333333 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08343566014727354, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6017998175890386}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:04,608][39m Trial 57 finished with value: 0.8666666666666666 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08725576202991024, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.11553200099082084}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:09,476][39m Trial 58 finished with value: 0.8571428571428572 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09547121625693149, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:11,603][39m Trial 59 finished with value: 0.8604651162790697 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0863844913431083, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8425255568853695}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:15,349][39m Trial 60 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09652651287189712, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.793389625464013}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:19,291][39m Trial 61 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09420725776368435, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2742279580970399}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:23,958][39m Trial 62 finished with value: 0.8536585365853658 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0897540250638293, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9896478841261246}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:29,500][39m Trial 63 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09690396991792359, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.13647701921760208}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:33,825][39m Trial 64 finished with value: 0.8536585365853658 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09097313096265791, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.84343495290548}. Best is trial 24 with value: 0.8837209302325582.
